slice,roi_mae,roi_rmse,roi_psnr,roi_ssim,full_mae,full_rmse,full_psnr,full_ssim,cbct_roi_mae,roi_n
slice_0105,85.2175,165.8955,27.7973,0.7537,48.7998,126.6185,30.1441,0.8343,190.2195,36753
slice_0106,83.4076,161.5776,28.0264,0.7725,47.7917,123.0859,30.3899,0.8474,197.2786,36844
slice_0107,82.2859,163.2145,27.9388,0.7804,47.1357,124.0456,30.3224,0.8530,198.3299,36920
slice_0108,101.2470,202.4202,26.0689,0.7533,57.8356,153.1927,28.4893,0.8320,197.7942,36958
slice_0109,91.6124,189.8149,26.6274,0.7804,52.3756,143.7279,29.0432,0.8520,198.5418,36962
slice_0110,80.9126,163.9627,27.8991,0.8041,46.3850,124.5523,30.2870,0.8691,200.9172,36990
slice_0111,84.1554,170.3658,27.5664,0.7759,48.2743,129.4345,29.9530,0.8493,203.2908,37021
slice_0112,79.6373,161.1134,28.0514,0.7968,45.7509,122.6389,30.4215,0.8648,201.7514,37034
slice_0113,86.1005,170.8483,27.5418,0.7979,49.4360,129.9288,29.9199,0.8653,199.3885,37061
slice_0114,80.3082,165.3272,27.8271,0.7900,46.2025,125.9419,30.1906,0.8602,198.4474,37081
slice_0115,84.1671,172.4159,27.4625,0.7834,48.4052,131.3063,29.8283,0.8554,199.9097,37094
slice_0116,79.9495,157.8512,28.2291,0.8049,46.0281,120.4724,30.5763,0.8702,200.1091,37120
slice_0117,92.9555,184.3056,26.8833,0.7719,53.3931,140.0789,29.2666,0.8484,199.9126,37140
slice_0118,78.2712,149.7848,28.6847,0.8154,45.0473,114.2693,31.0354,0.8773,200.5818,37154
slice_0119,75.6110,149.7115,28.6889,0.8157,43.5006,114.0862,31.0494,0.8777,202.4027,37157
slice_0120,82.9144,162.4153,27.9815,0.8064,47.6347,123.5573,30.3567,0.8712,203.1286,37170
slice_0121,82.1978,151.4279,28.5899,0.7782,47.2570,115.4373,30.9471,0.8534,205.2453,37190
slice_0122,75.3242,144.1395,29.0184,0.8409,43.3953,110.0786,31.3600,0.8928,203.6770,37211
slice_0123,90.1794,157.6631,28.2394,0.8170,51.8541,120.1985,30.5960,0.8761,202.7942,37211
slice_0124,66.8983,125.7850,30.2014,0.8733,38.6494,96.6150,32.4931,0.9132,198.2869,37197
slice_0125,76.9167,145.5103,28.9362,0.8267,44.2901,111.1668,31.2745,0.8839,199.0193,37181
slice_0126,78.6879,150.5962,28.6377,0.8171,45.2945,114.9261,30.9857,0.8778,200.2556,37189
slice_0127,79.3060,148.9731,28.7319,0.8075,45.6921,113.8117,31.0703,0.8705,201.8045,37196
slice_0128,79.2452,147.2733,28.8315,0.8226,45.7021,112.7532,31.1514,0.8811,203.8431,37177
slice_0129,83.5617,156.7348,28.2907,0.8024,48.1273,119.7349,30.6296,0.8686,204.9198,37143
slice_0130,80.9198,148.8999,28.7361,0.8255,46.7086,114.0958,31.0486,0.8829,205.3793,37148
slice_0131,81.6232,156.7193,28.2916,0.8186,47.1422,120.0222,30.6088,0.8780,205.1035,37134
slice_0132,86.1798,167.2457,27.7269,0.7929,49.7817,127.9982,30.0499,0.8605,203.7433,37121
slice_0133,80.3120,153.9864,28.4444,0.8094,46.5561,118.4620,30.7224,0.8711,202.6645,37114
slice_0134,75.8769,143.7121,29.0442,0.8166,44.0561,110.8049,31.3028,0.8743,202.3520,37112
